Core,DepthConsolidated,Location,Unknown,Goniopora,Dipsastraea,Montipora,Porites,Echinopora,Euphyllia,Acropora,Heliopora,Fungia,Merulina,Diploastrea,Tubastraea,Astreopora,Platygyra,Echinophyllia,Hydnophora,Pachyseris,Turbinaria,Pavona,Pectinia,Oxypora,Goniastrea,Cyphastrea,Podabacia,Favites,Pseudosiderastrea,Psammocora
SM02,30,West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM02,35,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM02,40,West,0.31029987,0,0.309973924,0,0.379726206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM02,50,West,0,0,0,0,0.462392109,0,0,0.537607891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM02,55,West,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM02,65,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM02,70,West,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM02,75,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM02,80,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM02,95,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM02,100,West,0.043550941,0,0,0,0.956449059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
